song,bpm,energy,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,spectral_centroids
Kenya Grace - Strangers (K1LO '2000s' Techno Remix).mp3,150,0.09648486018328914,0.20233871,0.2603511,0.3550192,0.22227669,0.2681855,0.18446702,0.2862367,0.25783163,0.16058047,0.2360865,0.21939619,0.3538302,-114.36748,103.10934,14.348779,25.681292,5.53649,10.083434,1.4800153,-1.7349116,0.61166465,3.5658057,-2.8319597,2.325752,1.3060546,6.0395985,-0.4096891,1.7904195,-0.4443353,-0.58516073,-0.064536385,2.3594036,1953.7915417247116
Live attack.mp3,156,0.07274669323683283,0.32297996,0.5608568,0.31130672,0.25451827,0.22581343,0.18391953,0.15498357,0.15410829,0.26520243,0.13556407,0.12974712,0.1254482,-41.110962,78.06603,-6.9330935,10.777268,-1.0780373,6.340082,-1.8466493,3.247876,-6.110154,3.243136,-1.3517435,2.0563684,-1.3970141,2.7569647,-3.8169997,1.2182554,-1.8041593,1.599312,-1.8704194,1.5663341,2521.9354334544096
LÄUFF Ft. Angèle - Attrape-moi (Edit - AI Cover).mp3,160,0.09120278938599588,0.25190532,0.29256764,0.21675313,0.24735975,0.30701572,0.29472038,0.22764923,0.1511309,0.27288958,0.28427002,0.3903462,0.25867483,-96.51269,95.54934,22.39113,23.060852,15.630762,12.754976,3.0126762,2.2870207,-1.2039021,1.4260669,-3.1569107,1.3781549,-4.0084667,1.2624668,-4.4806986,0.7469706,-2.4856668,-0.26634452,-3.7342782,-0.40688434,2118.2697987063266
Matrakk - 69 Carats [UFR001].mp3,155,0.0983272238714168,0.2102299,0.1980061,0.2829053,0.20602418,0.2252338,0.28127167,0.22637135,0.30029708,0.26367825,0.36968094,0.22932328,0.16898377,-71.54282,82.65819,6.28476,23.314175,15.381097,15.780182,14.882779,4.6927047,2.9168239,9.134337,0.03960147,8.288371,-2.8113844,2.6313186,-1.809793,4.8395233,3.887119,6.989484,0.11305176,-1.1663988,2231.271686758934
Matrakk - You Got The Trance.mp3,154,0.13206346480969094,0.2295267,0.19190069,0.23820522,0.24630229,0.36419833,0.19427551,0.20640975,0.2407164,0.24621065,0.35436076,0.301623,0.22873583,-18.16155,65.57602,10.251332,20.960314,10.798245,16.416159,4.6389194,14.652368,1.3657798,6.810509,1.2833598,5.0097523,-2.1009524,4.8821545,-0.17524202,6.3701835,1.9750227,3.3111656,-2.966067,2.2289653,2810.9302622570704
MATRAKK ft Morgane Rey - Mon Amour.mp3,160,0.07947897797303935,0.22117013,0.16793855,0.20750234,0.17355767,0.24093357,0.26331335,0.22994429,0.3838333,0.3459843,0.42783046,0.18478845,0.22741558,-50.345676,56.47294,3.6541817,20.160084,2.7975872,13.575574,10.814946,11.866983,7.6850657,13.14347,5.0187078,8.922029,1.3198695,6.043023,1.3032064,0.9240163,-6.0999227,-3.0181224,-6.5425396,0.74715346,2988.155591108859
Migos - Walk It Talk It (DURDENHAUER Edit) [FREE DOWNLOAD].mp3,155,0.13395114952469248,0.21589543,0.18857549,0.33666113,0.20728126,0.21992362,0.28162068,0.3000776,0.35630983,0.22820431,0.32925496,0.274826,0.18547194,-50.082603,99.58771,10.065902,28.346064,1.884098,13.151913,-3.7322018,3.47332,-3.0663385,5.735498,0.86860293,5.059642,-2.6266937,1.6298796,0.69887185,4.7173414,-1.3737227,4.8682666,-3.052127,-0.071993604,2083.954649492937
"Mika - Relax, Take It Easy (E11 Rave Edit) [FREE DOWNLOAD].mp3",150,0.03551679941155582,0.14370073,0.18009274,0.08140746,0.12748352,0.24050988,0.23253697,0.44754893,0.3847639,0.42554682,0.2799777,0.2360181,0.24634778,-25.063244,52.698166,-4.599212,17.503084,-0.12658644,9.648405,-1.8845583,6.3623214,-4.179678,6.059645,-1.0738037,2.660628,-2.7277288,0.7917498,-2.010948,2.6328294,-0.8330706,2.5926673,0.58372813,3.06835,3378.3575052792603
Naps - Dreamlife feat. SCH (Just Pedro Techno Remix).mp3,140,0.10885960612874451,0.19216914,0.17489856,0.38980895,0.47700024,0.36367,0.27589872,0.22713965,0.19676293,0.2035394,0.19602017,0.23506473,0.10960078,-39.519325,54.959915,14.36707,18.879576,4.949516,12.048127,5.270684,12.872758,2.1276798,8.772209,2.7642705,6.2273,1.7015685,2.9888306,1.9913597,5.65719,-1.3365747,1.7836577,0.101254836,2.55991,3212.918487440916
Nyctonian x OGUZ - GOLDEN SZN.mp3,155,0.14254558987833255,0.24044012,0.19792362,0.20670356,0.23889703,0.37100163,0.25045446,0.22142418,0.31501326,0.34702805,0.3024147,0.2217599,0.21961315,-82.365364,69.20131,18.973175,22.207869,2.9795437,10.073537,0.4280575,7.201782,0.6720939,8.503379,1.8626422,3.0463645,-6.413082,0.23429158,0.3095404,3.479514,-2.1461165,-0.93772,-9.245146,-0.8239424,2520.575137494505
Oliver Tree - Miss You (Nyctonian Tech Pop  Techno Remix)[OUT ON SPOTIFY ETC!].mp3,155,0.044339492299809116,0.21442243,0.17597815,0.31579444,0.21235345,0.3063061,0.21156456,0.19815017,0.34613073,0.33112177,0.36780593,0.24593449,0.15558997,-87.98208,98.76485,1.2142283,34.559475,8.074487,11.509531,2.488736,8.325803,-0.07036571,3.436436,-0.7798713,0.3839664,-1.7949096,1.1161894,-3.541658,3.8598132,-2.404103,-0.32698175,-2.989805,0.2948683,2035.420946040539
